customerID,Contract,Churn
7590-VHVEG,Month-to-month,No
5575-GNVDE,One year,No
3668-QPYBK,Month-to-month,Yes
7795-CFOCW,One year,No
9237-HQITU,Month-to-month,Yes
9305-CDSKC,Month-to-month,Yes
1452-KIOVK,Month-to-month,No
6713-OKOMC,Month-to-month,No
7892-POOKP,Month-to-month,Yes
6388-TABGU,One year,No
9763-GRSKD,Month-to-month,No
7469-LKBCI,Two year,No
8091-TTVAX,One year,No
0280-XJGEX,Month-to-month,Yes
5129-JLPIS,Month-to-month,No
3655-SNQYZ,Two year,No
8191-XWSZG,One year,No
9959-WOFKT,Two year,No
4190-MFLUW,Month-to-month,Yes
4183-MYFRB,Month-to-month,No
8779-QRDMV,Month-to-month,Yes
1680-VDCWW,One year,No
1066-JKSGK,Month-to-month,Yes
3638-WEABW,Two year,No
6322-HRPFA,Month-to-month,No
6865-JZNKO,Month-to-month,No
6467-CHFZW,Month-to-month,Yes
8665-UTDHZ,Month-to-month,Yes
5248-YGIJN,Two year,No
8773-HHUOZ,Month-to-month,Yes
3841-NFECX,Two year,No
4929-XIHVW,Month-to-month,No
6827-IEAUQ,One year,No
7310-EGVHZ,Month-to-month,No
3413-BMNZE,Month-to-month,No
6234-RAAPL,Two year,No
6047-YHPVI,Month-to-month,Yes
6572-ADKRS,Month-to-month,No
5380-WJKOV,Month-to-month,Yes
8168-UQWWF,Month-to-month,Yes
8865-TNMNX,One year,No
9489-DEDVP,Two year,No
9867-JCZSP,One year,No
4671-VJLCL,Two year,No
4080-IIARD,Month-to-month,No
3714-NTNFO,Month-to-month,No
5948-UJZLF,Month-to-month,No
7760-OYPDY,Month-to-month,Yes
7639-LIAYI,Two year,No
2954-PIBKO,Two year,No
8012-SOUDQ,Month-to-month,No
9420-LOJKX,Month-to-month,Yes
6575-SUVOI,Month-to-month,No
7495-OOKFY,Month-to-month,Yes
4667-QONEA,One year,No
1658-BYGOY,Month-to-month,Yes
8769-KKTPH,One year,No
5067-XJQFU,One year,No
3957-SQXML,Two year,No
5954-BDFSG,Two year,No
0434-CSFON,Month-to-month,No
1215-FIGMP,Month-to-month,No
0526-SXDJP,Two year,No
0557-ASKVU,One year,No
5698-BQJOH,Month-to-month,Yes
5122-CYFXA,Month-to-month,No
8627-ZYGSZ,One year,No
3410-YOQBQ,Two year,No
3170-NMYVV,Two year,No
7410-OIEDU,Month-to-month,No
2273-QCKXA,Month-to-month,No
0731-EBJQB,One year,No
1891-QRQSA,Two year,No
8028-PNXHQ,Two year,No
5630-AHZIL,Month-to-month,No
2673-CXQEU,One year,No
6416-JNVRK,One year,No
5590-ZSKRV,Month-to-month,No
0191-ZHSKZ,Month-to-month,No
3887-PBQAO,One year,No
5919-TMRGD,Month-to-month,Yes
8108-UXRQN,Month-to-month,No
9191-MYQKX,Month-to-month,Yes
9919-YLNNG,Month-to-month,No
0318-ZOPWS,Two year,No
4445-ZJNMU,Month-to-month,No
4808-YNLEU,One year,No
1862-QRWPE,Two year,No
2796-NNUFI,Two year,No
3016-KSVCP,Month-to-month,No
4767-HZZHQ,Month-to-month,No
2424-WVHPL,Month-to-month,No
7233-PAHHL,Two year,No
6067-NGCEU,Month-to-month,No
9848-JQJTX,Two year,No
8637-XJIVR,Month-to-month,Yes
9803-FTJCG,One year,No
0278-YXOOG,Month-to-month,Yes
3212-KXOCR,Two year,No
4598-XLKNJ,Month-to-month,Yes
6380-ARCEH,Month-to-month,No
3679-XASPY,Month-to-month,No
7123-WQUHX,One year,No
5386-THSLQ,One year,No
3192-NQECA,Two year,Yes
6180-YBIQI,Month-to-month,No
6728-DKUCO,One year,No
9750-BOOHV,One year,No
8597-CWYHH,One year,No
2848-YXSMW,Two year,No
0486-HECZI,Month-to-month,Yes
4549-ZDQYY,One year,No
5712-AHQNN,Month-to-month,No
4846-WHAFZ,Month-to-month,Yes
5256-SKJGO,Two year,No
3071-VBYPO,Month-to-month,No
9560-BBZXK,Two year,No
5299-RULOA,Month-to-month,Yes
8402-OOOHJ,Two year,No
9445-ZUEQE,Month-to-month,No
1091-SOZGA,One year,No
2928-HLDBA,Month-to-month,No
0404-SWRVG,Month-to-month,Yes
6497-TILVL,Month-to-month,No
7219-TLZHO,Month-to-month,No
4622-YNKIJ,Two year,No
4412-YLTKF,Month-to-month,Yes
6734-PSBAW,Two year,No
3930-ZGWVE,Month-to-month,No
2639-UGMAZ,One year,No
2876-GZYZC,Month-to-month,No
6207-WIOLX,Month-to-month,Yes
8587-XYZSF,Two year,No
3091-FYHKI,Month-to-month,Yes
2372-HWUHI,Month-to-month,Yes
7799-LGRDP,Two year,No
7850-VWJUU,Month-to-month,No
3774-VBNXY,Two year,No
6217-KDYWC,Two year,No
0390-DCFDQ,Month-to-month,Yes
3146-MSEGF,Two year,No
4080-OGPJL,Month-to-month,Yes
1095-WGNGG,Two year,No
2636-SJDOU,One year,No
1131-QQZEB,Two year,No
5716-EZXZN,Two year,No
6837-BJYDQ,One year,No
2135-RXIHG,Month-to-month,Yes
6440-DKQGE,One year,No
3466-BYAVD,Month-to-month,No
3780-YVMFA,Month-to-month,No
3874-EQOEP,Month-to-month,Yes
1679-JRFBR,One year,No
9073-ZZIAY,Two year,No
3077-RSNTJ,Month-to-month,No
6551-GNYDG,Month-to-month,No
9167-APMXZ,Month-to-month,No
2749-CTKAJ,One year,No
6371-NZYEG,Two year,No
7554-NEWDD,Two year,No
8992-VONJD,Month-to-month,No
0867-MKZVY,Month-to-month,Yes
4482-EWFMI,Month-to-month,No
4648-YPBTM,Two year,No
2907-ILJBN,One year,No
6345-FZOQH,Two year,No
3376-BMGFE,Month-to-month,Yes
5997-OPVFA,Two year,No
3445-HXXGF,Month-to-month,Yes
1159-WFSGR,Month-to-month,No
7654-YWJUF,One year,No
1875-QIVME,Month-to-month,Yes
6727-IOTLZ,Two year,No
0691-JVSYA,One year,Yes
5918-VUKWP,One year,No
1744-JHKYS,Month-to-month,No
2656-FMOKZ,Month-to-month,Yes
2070-FNEXE,Month-to-month,Yes
5947-SGKCL,Month-to-month,No
3712-PKXZA,One year,No
6317-YPKDH,Month-to-month,Yes
6582-OIVSP,Month-to-month,No
9367-WXLCH,Month-to-month,Yes
5524-KHNJP,One year,No
1918-ZBFQJ,Month-to-month,Yes
1024-GUALD,Month-to-month,Yes
4827-USJHP,Month-to-month,No
8167-GJLRN,Month-to-month,No
0956-SYCWG,One year,No
8017-UVSZU,Month-to-month,No
7100-FQPRV,One year,No
2472-OVKUP,Month-to-month,Yes
2984-RGEYA,Two year,No
9680-NIAUV,Two year,No
2146-EGVDT,Two year,No
2604-IJPDU,Month-to-month,No
9178-JHUVJ,Two year,No
6168-YBYNP,Month-to-month,No
7255-SSFBC,Two year,No
3645-DEYGF,Month-to-month,No
9323-HGFWY,One year,No
8544-GOQSH,Month-to-month,No
3363-DTIVD,Two year,No
7018-WBJNK,Month-to-month,No
9142-KZXOP,Month-to-month,No
7674-YTAFD,One year,No
6348-SNFUS,Two year,No
1285-OKIPP,Month-to-month,Yes
7825-ECJRF,Month-to-month,Yes
1347-KTTTA,One year,No
7841-TZDMQ,Month-to-month,Yes
4195-NZGTA,Month-to-month,No
7157-SMCFK,Two year,No
4709-LKHYG,One year,No
2504-DSHIH,Month-to-month,No
0699-NDKJM,Month-to-month,No
9286-BHDQG,Two year,No
0230-WEQUW,Two year,No
